Date and Time,"power MAX, GW","power MIN, GW","power GUESS, GW","annualised consumption MAX, TWh","annualised consumption MIN, TWh","annualised consumption GUESS, TWh","Lower bound efficiency, J/Th","Estimated efficiency, J/Th","Upper bound efficiency, J/Th","Hydro-only, MtCO2e","Estimated, MtCO2e","Coal-only, MtCO2e","Emission intensity, gCO2e/kWh",Hash rate MH/s
2010-07-18T00:00:00,2.67e-05,2.24e-05,2.44e-05,0.000233717,0.000196712,0.000214241,14313700.0,14313700.0,14313700.0,4e-06,0.000119,0.000214,554.121479,442953295.8
2010-07-19T00:00:00,2.68e-05,2.26e-05,2.46e-05,0.000235075,0.000197855,0.000215486,14313700.0,14313700.0,14313700.0,5e-06,0.000119,0.000216,554.121479,366288302.3
2010-07-20T00:00:00,2.72e-05,2.29e-05,2.5e-05,0.000238699,0.000200905,0.000218808,14313700.0,14313700.0,14313700.0,5e-06,0.000121,0.000219,554.121479,391843300.1
2010-07-21T00:00:00,2.84e-05,2.39e-05,2.61e-05,0.000249343,0.000209864,0.000228565,14313700.0,14313700.0,14313700.0,5e-06,0.000127,0.000229,554.121479,414558853.7
2010-07-22T00:00:00,2.82e-05,2.37e-05,2.59e-05,0.000247305,0.000208148,0.000226696,14313700.0,14313700.0,14313700.0,5e-06,0.000126,0.000227,554.121479,385677556.7
2010-07-23T00:00:00,2.85e-05,2.4e-05,2.61e-05,0.000250023,0.000210436,0.000229188,14313700.0,14313700.0,14313700.0,5e-06,0.000127,0.000229,554.121479,419923635.7
2010-07-24T00:00:00,2.86e-05,2.41e-05,2.62e-05,0.000250993,0.000211252,0.000230077,14313700.0,14313700.0,14313700.0,5e-06,0.000127,0.00023,554.121479,401080908.5
2010-07-25T00:00:00,2.99e-05,2.52e-05,2.74e-05,0.000262446,0.000220892,0.000240576,14313700.0,14313700.0,14313700.0,5e-06,0.000133,0.000241,554.121479,417231817.5
2010-07-26T00:00:00,3.15e-05,2.65e-05,2.88e-05,0.00027584,0.000232165,0.000252854,14313700.0,14313700.0,14313700.0,5e-06,0.00014,0.000253,554.121479,506061817.4
2010-07-27T00:00:00,3.23e-05,2.72e-05,2.96e-05,0.000283516,0.000238626,0.00025989,14313700.0,14313700.0,14313700.0,5e-06,0.000144,0.00026,554.121479,436074544.8
2010-07-28T00:00:00,3.25e-05,2.74e-05,2.98e-05,0.000284852,0.000239751,0.000261115,14313700.0,14313700.0,14313700.0,5e-06,0.000145,0.000261,554.121479,395697272.1
2010-07-29T00:00:00,3.4e-05,2.86e-05,3.11e-05,0.000297691,0.000250556,0.000272884,14313700.0,14313700.0,14313700.0,6e-06,0.000151,0.000273,554.121479,379546363.1
2010-07-30T00:00:00,3.51e-05,2.95e-05,3.22e-05,0.000307557,0.000258861,0.000281928,14313700.0,14313700.0,14313700.0,6e-06,0.000156,0.000282,554.121479,427999090.2
2010-07-31T00:00:00,3.69e-05,3.11e-05,3.39e-05,0.000323878,0.000272597,0.000296889,14313700.0,14313700.0,14313700.0,6e-06,0.000165,0.000297,554.121479,395697272.1
2010-08-01T00:00:00,3.9e-05,3.28e-05,3.57e-05,0.000341447,0.000287384,0.000312993,14313700.0,14313700.0,14313700.0,7e-06,0.000173,0.000313,554.121479,406464544.8
2010-08-02T00:00:00,4.08e-05,3.43e-05,3.74e-05,0.000357469,0.00030087,0.00032768,14313700.0,14313700.0,14313700.0,7e-06,0.000182,0.000328,554.121479,358011817.6
2010-08-03T00:00:00,4.27e-05,3.59e-05,3.91e-05,0.000373934,0.000314728,0.000342773,14313700.0,14313700.0,14313700.0,7e-06,0.00019,0.000343,554.121479,393005453.9
