Date,"power GUESS, GW",annualised_consumption_MAX,"annualised consumption GUESS, TWh","Estimated efficiency, J/Th","Hydro-only, MtCO2e","Coal-only, MtCO2e","Emission intensity, gCO2e/kWh",Hashrate,BTC_Price,BTC_Volume,SP500_Price,SP500_Volume,Gold_Price,Gold_Volume,Silver_Price,Silver_Volume,ETH_Price,ETH_Volume
7/18/2010,2.44E-05,0.000233717,0.000214241,14313700,4.00E-06,0.000214,554.121479,0.001606373,0.077975,5.0919941,,,1181.7,4,,,,
7/19/2010,2.46E-05,0.000235075,0.000215486,14313700,5.00E-06,0.000216,554.121479,0.001822962,0.0867925,49.731775,1071.25,4089500000,1191.5,8,,,,
7/20/2010,2.50E-05,0.000238699,0.000218808,14313700,5.00E-06,0.000219,554.121479,0.001822962,0.077999375,20.59548,1083.48,4713280000,1191.6,24,,,,
7/21/2010,2.61E-05,0.000249343,0.000228565,14313700,5.00E-06,0.000229,554.121479,0.001750766,0.070463167,42.55494167,1069.59,4747180000,1195.5,79,,,,
7/22/2010,2.59E-05,0.000247305,0.000226696,14313700,5.00E-06,0.000227,554.121479,0.001669545,0.064120381,131.5213214,1093.67,4826900000,1187.7,32,,,,
7/23/2010,2.61E-05,0.000250023,0.000229188,14313700,5.00E-06,0.000229,554.121479,0.001669545,0.0617804,148.019114,1102.66,4524570000,,,,,,
7/24/2010,2.62E-05,0.000250993,0.000230077,14313700,5.00E-06,0.00023,554.121479,0.002346387,0.055814583,26.7403002,,,,,,,,
7/25/2010,2.74E-05,0.000262446,0.000240576,14313700,5.00E-06,0.000241,554.121479,0.002124483,0.054911637,84.87729639,,,1183,37,,,,
7/26/2010,2.88E-05,0.00027584,0.000252854,14313700,5.00E-06,0.000253,554.121479,0.002124483,0.052658929,47.34840457,1115.01,4009650000,1158,29,,,,
7/27/2010,2.96E-05,0.000283516,0.00025989,14313700,5.00E-06,0.00026,554.121479,0.002124483,0.05839441,195.798432,1113.84,4725690000,1160.4,206828,,,,
7/28/2010,2.98E-05,0.000284852,0.000261115,14313700,5.00E-06,0.000261,554.121479,0.002209463,0.0577125,254.0387843,1106.13,4002390000,1168.4,54384,,,,
7/29/2010,3.11E-05,0.000297691,0.000272884,14313700,6.00E-06,0.000273,554.121479,0.002209463,0.061484076,521.2870677,1101.53,4612420000,1181.7,5466,,,,
7/30/2010,3.22E-05,0.000307557,0.000281928,14313700,6.00E-06,0.000282,554.121479,0.002682919,0.065255966,194.6616308,1101.6,4006450000,,,,,,
7/31/2010,3.39E-05,0.000323878,0.000296889,14313700,6.00E-06,0.000297,554.121479,0.003083536,0.062076736,243.4959703,,,,,,,,
8/1/2010,3.57E-05,0.000341447,0.000312993,14313700,7.00E-06,0.000313,554.121479,0.003083536,0.06065,161.4034233,,,1183.4,2504,,,,
8/2/2010,3.74E-05,0.000357469,0.00032768,14313700,7.00E-06,0.000328,554.121479,0.002767898,0.061504417,220.80665,1125.86,4144180000,1185.2,598,,,,
8/3/2010,3.91E-05,0.000373934,0.000342773,14313700,7.00E-06,0.000343,554.121479,0.002962137,0.061331489,608.8407186,1120.46,4071820000,1193.7,1068,,,,
8/4/2010,4.14E-05,0.000395869,0.00036288,14313700,8.00E-06,0.000363,554.121479,0.002962137,0.060740741,209.8050552,1127.24,4057850000,1197.2,214,,,,
8/5/2010,4.29E-05,0.000409831,0.000375679,14313700,8.00E-06,0.000376,554.121479,0.002485856,0.060067857,303.5957497,1125.81,3685560000,1203.4,347,,,,
8/6/2010,4.37E-05,0.000417659,0.000382855,14313700,8.00E-06,0.000383,554.121479,0.003361158,0.061995833,86.24175,1121.64,3857890000,,,,,,
8/7/2010,4.42E-05,0.000423016,0.000387765,14313700,8.00E-06,0.000388,554.121479,0.003361158,0.060557063,157.3504476,,,,,,,,
8/8/2010,4.55E-05,0.00043554,0.000399246,14313700,8.00E-06,0.0004,554.121479,0.003623748,0.060122222,133.1180667,,,1200.7,658,,,,
8/9/2010,4.64E-05,0.000443892,0.000406902,14313700,9.00E-06,0.000407,554.121479,0.003798808,0.064961944,886.8018368,1127.79,3979360000,1196.2,713,,,,
8/10/2010,4.77E-05,0.000456538,0.000418494,14313700,9.00E-06,0.000419,554.121479,0.003798808,0.069299271,89.25175304,1121.06,3979360000,1197.5,351,,,,
8/11/2010,5.03E-05,0.00048082,0.000440753,14313700,9.00E-06,0.000441,554.121479,0.003798808,0.069064279,1017.570949,1089.47,4511860000,1214.8,289,,,,
8/12/2010,5.24E-05,0.000501566,0.00045977,14313700,1.00E-05,0.00046,554.121479,0.004569073,0.067323778,134.4550478,1083.61,4521050000,1214.9,138,,,,
8/13/2010,5.51E-05,0.000527172,0.000483242,14313700,1.00E-05,0.000484,554.121479,0.004569073,0.065554444,234.2397182,1079.25,3328890000,,,,,,
8/14/2010,6.01E-05,0.000574617,0.000526734,14313700,1.10E-05,0.000527,554.121479,0.002951086,0.066519524,293.5423809,,,,,,,,
8/15/2010,6.14E-05,0.000586846,0.000537943,14313700,1.10E-05,0.000538,554.121479,0.003332692,0.06570103,294.5835198,,,1224.5,252,,,,
8/16/2010,6.23E-05,0.000595742,0.000546098,14313700,1.10E-05,0.000547,554.121479,0.003332692,0.065212527,700.0429435,1079.38,3142450000,1226.6,84,,,,
8/17/2010,6.22E-05,0.000594412,0.000544878,14313700,1.10E-05,0.000545,554.121479,0.003561656,0.066713782,918.8186134,1092.54,3968210000,1229.7,169,,,,
8/18/2010,6.06E-05,0.000579455,0.000531168,14313700,1.10E-05,0.000532,554.121479,0.004248547,0.069343958,203.4366788,1094.16,3724260000,1233.8,46,,,,
8/19/2010,5.98E-05,0.000571618,0.000523984,14313700,1.10E-05,0.000525,554.121479,0.004248547,0.0673875,50.01503625,1075.63,4290540000,1227.2,236,,,,
8/20/2010,6.24E-05,0.000596273,0.000546584,14313700,1.10E-05,0.000547,554.121479,0.00506264,0.065921429,276.4909894,1071.69,3761570000,,,,,,
8/21/2010,6.12E-05,0.000585131,0.000536371,14313700,1.10E-05,0.000537,554.121479,0.005520567,0.065516417,688.4179615,,,,,,,,
8/22/2010,6.42E-05,0.000613979,0.000562815,14313700,1.20E-05,0.000563,554.121479,0.005520567,0.063504664,1183.739259,,,1226.9,56,,,,
8/23/2010,6.80E-05,0.000650095,0.000595922,14313700,1.30E-05,0.000597,554.121479,0.005774971,0.064946832,282.9825763,1067.36,3210950000,1231.8,300,,,,
8/24/2010,7.29E-05,0.000697156,0.000639061,14313700,1.30E-05,0.00064,554.121479,0.005291603,0.065692727,444.5930419,1051.87,4436330000,1239.5,298,,,,
8/25/2010,7.77E-05,0.000742575,0.000680695,14313700,1.40E-05,0.000681,554.121479,0.005291603,0.065319315,278.5036218,1055.33,4360190000,1235.4,104,,,,
8/26/2010,8.21E-05,0.000785287,0.000719848,14313700,1.50E-05,0.000721,554.121479,0.005546983,0.0646625,251.2714046,1047.22,3646710000,1236,573,,,,
8/27/2010,8.30E-05,0.000793656,0.00072752,14313700,1.50E-05,0.000728,554.121479,0.00489622,0.064384394,583.666707,1064.59,4102460000,,,,,,
8/28/2010,8.49E-05,0.000812303,0.000744612,14313700,1.60E-05,0.000745,554.121479,0.00489622,0.064715997,399.4128645,,,,,,,,
8/29/2010,8.41E-05,0.000804276,0.000737254,14313700,1.50E-05,0.000738,554.121479,0.005423028,0.064394444,204.9500868,,,1237.1,128,,,,
8/30/2010,8.23E-05,0.000787036,0.000721451,14313700,1.50E-05,0.000722,554.121479,0.005454017,0.063032163,2065.635753,1048.92,2917990000,1248.3,124,,,,
8/31/2010,8.28E-05,0.000792031,0.00072603,14313700,1.50E-05,0.000727,554.121479,0.005454017,0.062988418,926.1008197,1049.33,4038770000,1246.3,41,,,,
9/1/2010,8.14E-05,0.000778482,0.00071361,14313700,1.50E-05,0.000714,554.121479,0.004958197,0.060923853,437.1165344,1080.29,4396880000,1251.5,100,,,,
9/2/2010,8.01E-05,0.000765879,0.000702057,14313700,1.50E-05,0.000703,554.121479,0.005546983,0.061082222,502.2160427,1090.1,3704210000,1249.2,3,,,,
9/3/2010,7.96E-05,0.000761213,0.00069778,14313700,1.50E-05,0.000698,554.121479,0.005546983,0.061758333,55.16575,1104.51,3534500000,,,,,,
9/4/2010,8.04E-05,0.000768546,0.000704501,14313700,1.50E-05,0.000705,554.121479,0.005237096,0.061465417,203.0564283,,,,,,,,
9/5/2010,8.06E-05,0.000770545,0.000706334,14313700,1.50E-05,0.000707,554.121479,0.004679299,0.062019214,527.7676568,,,,,,,,
9/6/2010,8.12E-05,0.000776544,0.000711834,14313700,1.50E-05,0.000713,554.121479,0.004679299,0.0618,56.38,,,1257.3,7,,,,
9/7/2010,7.95E-05,0.000760547,0.000697169,14313700,1.50E-05,0.000698,554.121479,0.005351093,0.061355833,212.4282814,1091.84,3107380000,1255.6,27,,,,
9/8/2010,8.15E-05,0.000779277,0.000714339,14313700,1.50E-05,0.000715,554.121479,0.006059847,0.061165833,143.6206654,1098.87,3224640000,1248.9,9,,,,
9/9/2010,8.14E-05,0.000778198,0.00071335,14313700,1.50E-05,0.000714,554.121479,0.006059847,0.061473426,107.2551357,1104.18,3387770000,1244.5,20,,,,
9/10/2010,8.41E-05,0.000803802,0.00073682,14313700,1.50E-05,0.000738,554.121479,0.006485099,0.060815357,301.6885323,1109.55,3061160000,,,,,,
9/11/2010,8.42E-05,0.000805115,0.000738024,14313700,1.50E-05,0.000739,554.121479,0.005811783,0.062715795,492.5143536,,,,,,,,
9/12/2010,8.68E-05,0.000830052,0.000760883,14313700,1.60E-05,0.000762,554.121479,0.005811783,0.061742778,49.01930948,,,1245.1,18,,,,
9/13/2010,8.94E-05,0.000855082,0.000783826,14313700,1.60E-05,0.000785,554.121479,0.006662287,0.061796852,631.2542096,1121.9,4521050000,1269.7,87,,,,
9/14/2010,9.44E-05,0.00090317,0.000827908,14313700,1.70E-05,0.000829,554.121479,0.006733163,0.064303307,888.3455123,1121.1,4521050000,1266.7,34,,,,
9/15/2010,9.50E-05,0.000908612,0.000832895,14313700,1.70E-05,0.000834,554.121479,0.006733163,0.061154524,223.8252015,1125.07,3369840000,1271.9,37,,,,
9/16/2010,0.00010171,0.000972641,0.00089159,14313700,1.90E-05,0.000892,554.121479,0.008398735,0.06185,45.1505,1124.66,3364080000,1275.6,54,,,,
9/17/2010,0.000104181,0.000996271,0.00091325,14313700,1.90E-05,0.000914,554.121479,0.009581379,0.060537244,438.9090322,1125.59,4086140000,,,,,,
9/18/2010,0.000110319,0.001054965,0.000967053,14313700,2.00E-05,0.000968,554.121479,0.009581379,0.06033725,424.5695031,,,,,,,,
9/19/2010,0.0001172,0.001120775,0.001027379,14313700,2.20E-05,0.001028,554.121479,0.008075734,0.061907222,797.2292901,,,1279,27,,,,
9/20/2010,0.000124403,0.001189653,0.001090517,14313700,2.30E-05,0.001092,554.121479,0.007893231,0.0624961,891.3113583,1142.71,3364080000,1272.4,56,,,,
9/21/2010,0.000125874,0.001203715,0.001103407,14313700,2.30E-05,0.001105,554.121479,0.007893231,0.062842,359.851501,1139.78,4175660000,1290.2,17,,,,
9/22/2010,0.000130259,0.001245657,0.001141854,14313700,2.40E-05,0.001143,554.121479,0.011223901,0.062125087,717.3679294,1134.28,3911070000,1294.3,45,,,,
9/23/2010,0.000136817,0.001308369,0.001199341,14313700,2.50E-05,0.001201,554.121479,0.009216374,0.062264362,969.3539684,1124.83,3847850000,1296,37,,,,
9/24/2010,0.000143636,0.001373578,0.001259115,14313700,2.60E-05,0.00126,554.121479,0.009216374,0.0622075,42.6612125,1148.67,4123950000,,,,,,
